,year,region_name,population_interpolated,N_est,lower,upper,score,score_cap,lower_cap,N_est_cap,upper_cap,gdp_per_capita,inclusive,restricted
644,1454,France,13.16,620.874349164545,532.8853909741017,717.2799138661112,44.8,3.4259471871412166,40.78308221588071,47.51792790407288,54.89685086937241,1795,1,1
645,1455,France,13.2,561.2424137990045,481.832947735233,648.2743285980274,41.0,3.128587830080367,36.80394577120519,42.87044659880826,49.51909714559154,1795,1,1
646,1456,France,13.24,501.61047843346387,430.7805044963643,579.2687433299436,37.2,2.831228473019517,32.824809326529675,38.222965293543645,44.141343421810674,1779,1,1
647,1457,France,13.280000000000001,441.97854306792334,379.72806125749565,510.2631580618598,33.400000000000006,2.5338691159586677,28.845672881854153,33.57548398827903,38.763589698029804,1779,1,1
648,1458,France,13.32,382.34660770238276,328.675618018627,441.25757279377603,29.6,2.2365097588978182,24.866536437178635,28.92800268301442,33.385835974248934,1761,1,1
649,1459,France,13.36,322.7146723368422,277.62317477975836,372.25198752569224,25.800000000000004,1.9391504018369687,20.887399992503113,24.280521377749807,28.008082250468064,1761,1,1
650,1460,France,13.4,263.0827369713016,226.5707315408897,303.2464022576085,22.0,1.6417910447761193,16.90826354782759,19.633040072485194,22.6303285266872,1745,1,1
651,1461,France,13.440000000000001,264.39210494893507,227.77171671800022,304.6268199835612,22.1,1.644278606965174,16.94628199965349,19.671014447465925,22.664763641533956,1728,1,1
652,1462,France,13.48,265.70147292656856,228.97270189511073,306.0072377095139,22.2,1.6467661691542288,16.98430045147939,19.708988822446656,22.699198756380706,1728,1,1
653,1463,France,13.52,267.01084090420204,230.1736870722212,307.38765543546657,22.3,1.6492537313432833,17.022318903305287,19.746963197427384,22.73363387122746,1710,1,1
654,1464,France,13.56,268.3202088818355,231.37467224933172,308.76807316141924,22.4,1.6517412935323381,17.060337355131185,19.784937572408115,22.768068986074216,1710,1,1
655,1465,France,13.600000000000001,269.629576859469,232.57565742644223,310.14849088737196,22.5,1.6542288557213929,17.098355806957084,19.822911947388846,22.80250410092097,1710,1,1
656,1466,France,13.64,270.93894483710255,233.77664260355274,311.52890861332463,22.6,1.6567164179104477,17.136374258782983,19.860886322369577,22.83693921576772,1710,1,1
657,1467,France,13.68,272.24831281473604,234.97762778066325,312.9093263392773,22.7,1.6592039800995024,17.17439271060888,19.898860697350308,22.871374330614476,1710,1,1
658,1468,France,13.72,273.5576807923695,236.17861295777374,314.28974406522997,22.8,1.661691542288557,17.21241116243478,19.936835072331036,22.90580944546123,1710,1,1
659,1469,France,13.760000000000002,274.867048770003,237.37959813488425,315.6701617911827,22.9,1.6641791044776117,17.25042961426068,19.974809447311767,22.94024456030798,1728,1,1
660,1470,France,13.8,276.1764167476365,238.58058331199476,317.05057951713536,23.0,1.6666666666666665,17.288448066086577,20.012783822292498,22.974679675154736,1728,1,1
661,1471,France,13.84,326.92021493394975,282.6852249174516,374.99331438876317,26.4,1.9014084507042253,20.345708888819914,23.529916697885568,26.990436554353444,1745,1,1
662,1472,France,13.88,377.66401312026306,326.7898665229085,432.93604926039103,29.8,2.136150234741784,23.40296971155325,27.04704957347864,31.00619343355215,1779,1,1
663,1473,France,13.92,428.4078113065763,370.8945081283653,490.87878413201884,33.2,2.370892018779343,26.460230534286588,30.564182449071705,35.02195031275086,1779,1,1
