,year,region_name,population_interpolated,N_est,lower,upper,score,score_cap,lower_cap,N_est_cap,upper_cap,region_code,country_code_maddison,gdp_per_capita
231,1844,Low countries,7.2299999999999995,6597.064915646137,6158.9959845330895,7053.126727626747,816.0,112.88510638297873,851.3742345202342,911.9128064112406,974.9138619970579,re_low_countries,NLD,3540
232,1845,Low countries,7.275,6664.773752252969,6221.438536870902,7127.494499046523,820.0,112.73758865248227,854.670779845972,915.5566261268589,979.0800706896682,re_low_countries,NLD,3515
233,1846,Low countries,7.32,6732.482588859801,6283.881089208714,7201.862270466298,824.0,112.59007092198581,857.96732517171,919.2004458424772,983.2462793822784,re_low_countries,NLD,3521
234,1847,Low countries,7.365,6800.191425466633,6346.323641546526,7276.230041886072,828.0,112.44255319148937,861.2638704974479,922.8442655580956,987.4124880748888,re_low_countries,NLD,3545
235,1848,Low countries,7.41,6867.9002620734655,6408.7661938843385,7350.597813305847,832.0,112.2950354609929,864.5604158231858,926.4880852737139,991.5786967674991,re_low_countries,NLD,3602
236,1849,Low countries,7.455,6935.609098680297,6471.208746222151,7424.965584725623,836.0,112.14751773049646,867.8569611489238,930.1319049893323,995.7449054601093,re_low_countries,NLD,3709
237,1850,Low countries,7.5,7003.317935287129,6533.651298559963,7499.333356145397,840.0,112.0,871.1535064746618,933.7757247049506,999.9111141527196,re_low_countries,NLD,3779
238,1851,Low countries,7.595,7309.533812209888,6811.011794885543,7833.296538637341,868.3,114.08994082840236,894.1832003457254,959.5162197435054,1028.1917800281558,re_low_countries,NLD,3834
239,1852,Low countries,7.6899999999999995,7615.749689132647,7088.372291211123,8167.259721129285,896.6,116.17988165680474,917.212894216789,985.2567147820603,1056.472445903592,re_low_countries,NLD,3790
240,1853,Low countries,7.785,7921.965566055406,7365.732787536704,8501.222903621228,924.9,118.2698224852071,940.2425880878526,1010.9972098206151,1084.7531117790281,re_low_countries,NLD,3704
241,1854,Low countries,7.88,8228.181442978164,7643.093283862285,8835.186086113172,953.2,120.35976331360948,963.2722819589162,1036.73770485917,1113.0337776544643,re_low_countries,NLD,3931
242,1855,Low countries,7.975,8534.397319900923,7920.453780187865,9169.149268605115,981.5,122.44970414201184,986.3019758299798,1062.478199897725,1141.3144435299005,re_low_countries,NLD,3824
243,1856,Low countries,8.07,8840.613196823682,8197.814276513445,9503.112451097059,1009.8,124.5396449704142,1009.3316697010434,1088.21869493628,1169.5951094053366,re_low_countries,NLD,3977
244,1857,Low countries,8.165,9146.829073746441,8475.174772839026,9837.075633589004,1038.1,126.62958579881658,1032.3613635721072,1113.9591899748348,1197.8757752807726,re_low_countries,NLD,3907
245,1858,Low countries,8.26,9453.0449506692,8752.535269164606,10171.038816080947,1066.4,128.71952662721895,1055.3910574431707,1139.6996850133896,1226.1564411562088,re_low_countries,NLD,3800
