,year,region_name,population_interpolated,N_est,lower,upper,score,century,score_cap,lower_cap,N_est_cap,upper_cap,region_code,country_code_maddison,gdp_per_capita
319,1861,Nordic countries,2.50400000000041,9880.151116492572,9066.952173267891,10711.894204343733,896.0,19.0,357.8274760382801,3620.987289643134,3945.74725099479,4277.9130209033465,re_nordic_countries,SWE,1865
320,1862,Nordic countries,2.50400000000041,9880.151116492572,9066.952173267891,10711.894204343733,896.0,19.0,357.8274760382801,3620.987289643134,3945.74725099479,4277.9130209033465,re_nordic_countries,SWE,1808
321,1863,Nordic countries,2.50400000000041,9880.151116492572,9066.952173267891,10711.894204343733,896.0,19.0,357.8274760382801,3620.987289643134,3945.74725099479,4277.9130209033465,re_nordic_countries,SWE,1886
322,1864,Nordic countries,2.50400000000041,9880.151116492572,9066.952173267891,10711.894204343733,896.0,19.0,357.8274760382801,3620.987289643134,3945.74725099479,4277.9130209033465,re_nordic_countries,SWE,1919
323,1865,Nordic countries,2.50400000000041,9880.151116492572,9066.952173267891,10711.894204343733,896.0,19.0,357.8274760382801,3620.987289643134,3945.74725099479,4277.9130209033465,re_nordic_countries,SWE,1953
324,1866,Nordic countries,2.50400000000041,9880.151116492572,9066.952173267891,10711.894204343733,896.0,19.0,357.8274760382801,3620.987289643134,3945.74725099479,4277.9130209033465,re_nordic_countries,SWE,1921
325,1867,Nordic countries,2.50400000000041,9880.151116492572,9066.952173267891,10711.894204343733,896.0,19.0,357.8274760382801,3620.987289643134,3945.74725099479,4277.9130209033465,re_nordic_countries,SWE,1949
326,1868,Nordic countries,2.50400000000041,9880.151116492572,9066.952173267891,10711.894204343733,896.0,19.0,357.8274760382801,3620.987289643134,3945.74725099479,4277.9130209033465,re_nordic_countries,SWE,1774
327,1869,Nordic countries,2.50400000000041,9880.151116492572,9066.952173267891,10711.894204343733,896.0,19.0,357.8274760382801,3620.987289643134,3945.74725099479,4277.9130209033465,re_nordic_countries,SWE,1902
328,1870,Nordic countries,2.50400000000041,9880.151116492572,9066.952173267891,10711.894204343733,896.0,19.0,357.8274760382801,3620.987289643134,3945.74725099479,4277.9130209033465,re_nordic_countries,SWE,2144
329,1871,Nordic countries,2.50400000000041,9880.151116492572,9066.952173267891,10711.894204343733,896.0,19.0,357.8274760382801,3620.987289643134,3945.74725099479,4277.9130209033465,re_nordic_countries,SWE,2219
330,1872,Nordic countries,2.50400000000041,9880.151116492572,9066.952173267891,10711.894204343733,896.0,19.0,357.8274760382801,3620.987289643134,3945.74725099479,4277.9130209033465,re_nordic_countries,SWE,2259
331,1873,Nordic countries,2.50400000000041,9880.151116492572,9066.952173267891,10711.894204343733,896.0,19.0,357.8274760382801,3620.987289643134,3945.74725099479,4277.9130209033465,re_nordic_countries,SWE,2284
332,1874,Nordic countries,2.50400000000041,9880.151116492572,9066.952173267891,10711.894204343733,896.0,19.0,357.8274760382801,3620.987289643134,3945.74725099479,4277.9130209033465,re_nordic_countries,SWE,2370
333,1875,Nordic countries,2.50400000000041,9880.151116492572,9066.952173267891,10711.894204343733,896.0,19.0,357.8274760382801,3620.987289643134,3945.74725099479,4277.9130209033465,re_nordic_countries,SWE,2286
334,1876,Nordic countries,2.50400000000041,9880.151116492572,9066.952173267891,10711.894204343733,896.0,19.0,357.8274760382801,3620.987289643134,3945.74725099479,4277.9130209033465,re_nordic_countries,SWE,2431
335,1877,Nordic countries,2.50400000000041,9880.151116492572,9066.952173267891,10711.894204343733,896.0,19.0,357.8274760382801,3620.987289643134,3945.74725099479,4277.9130209033465,re_nordic_countries,SWE,2377
336,1878,Nordic countries,2.50400000000041,9880.151116492572,9066.952173267891,10711.894204343733,896.0,19.0,357.8274760382801,3620.987289643134,3945.74725099479,4277.9130209033465,re_nordic_countries,SWE,2291
337,1879,Nordic countries,2.50400000000041,9880.151116492572,9066.952173267891,10711.894204343733,896.0,19.0,357.8274760382801,3620.987289643134,3945.74725099479,4277.9130209033465,re_nordic_countries,SWE,2416
