region_code,region_code_atlas,year,value
re_indian_world,IND,400,"47,00"
re_indian_world,IND,500,"50,00"
re_indian_world,IND,600,"53,00"
re_indian_world,IND,700,"57,00"
re_indian_world,IND,800,"64,00"
re_indian_world,IND,900,"71,00"
re_indian_world,IND,1 000,"79,00"
re_indian_world,IND,1 100,"83,00"
re_indian_world,IND,1 200,"86,00"
re_indian_world,IND,1 300,"91,00"
re_indian_world,IND,1 400,"97,00"
re_indian_world,IND,1 500,"105,00"
re_indian_world,IND,1 600,"135,00"
re_indian_world,IND,1 650,"145,00"
re_indian_world,IND,1 700,"165,00"
re_indian_world,IND,1 750,"170,00"
re_indian_world,IND,1 800,"190,00"
re_indian_world,IND,1 850,"230,00"
re_ireland,IRE,400,"0,20"
re_ireland,IRE,500,"0,21"
re_ireland,IRE,600,"0,23"
re_ireland,IRE,700,"0,25"
re_ireland,IRE,800,"0,26"
re_ireland,IRE,900,"0,28"
re_ireland,IRE,1 000,"0,30"
re_ireland,IRE,1 100,"0,40"
re_ireland,IRE,1 200,"0,60"
re_ireland,IRE,1 300,"0,80"
re_ireland,IRE,1 400,"0,60"
re_ireland,IRE,1 500,"0,80"
re_ireland,IRE,1 600,"1,25"
re_ireland,IRE,1 650,"1,75"
re_ireland,IRE,1 700,"2,50"
re_ireland,IRE,1 750,"3,00"
re_ireland,IRE,1 800,"5,25"
re_ireland,IRE,1 850,"6,50"
re_italy,ITA,-300,"4,50"
re_italy,ITA,-200,"5,00"
re_italy,ITA,-100,"6,00"
re_italy,ITA,0,"7,00"
re_italy,ITA,100,"7,60"
re_italy,ITA,200,"7,60"
re_italy,ITA,300,"6,00"
re_italy,ITA,400,"5,00"
re_italy,ITA,500,"4,00"
re_italy,ITA,600,"3,50"
re_italy,ITA,700,"3,75"
re_italy,ITA,800,"4,00"
re_italy,ITA,900,"4,50"
re_italy,ITA,1 000,"5,00"
re_italy,ITA,1 100,"5,75"
re_italy,ITA,1 200,"7,25"
re_italy,ITA,1 300,"10,00"
re_italy,ITA,1 400,"7,00"
re_italy,ITA,1 500,"10,00"
re_italy,ITA,1 600,"12,00"
re_italy,ITA,1 650,"11,00"
re_italy,ITA,1 700,"13,00"
re_italy,ITA,1 750,"15,00"
re_italy,ITA,1 800,"19,00"
re_italy,ITA,1 850,"25,00"
re_japan,JAP,600,"5,12"
re_japan,JAP,700,"6,4"
re_japan,JAP,950,"5,6"
re_japan,JAP,1150,"4,1"
re_japan,JAP,1300,"6,2"
re_japan,JAP,1450,"10,5"
re_japan,JAP,1600,17
re_japan,JAP,1700,"31,3"
re_japan,JAP,1800,"30,7"
re_japan,JAP,1850,"32,2"
re_korea,KOR,-200,"0,10"
re_korea,KOR,0,"0,20"
re_korea,KOR,200,"0,30"
re_korea,KOR,400,"0,50"
re_korea,KOR,600,"1,00"
re_korea,KOR,800,"2,00"
re_korea,KOR,1 000,"2,50"
re_korea,KOR,1 100,"3,00"
re_korea,KOR,1 200,"4,00"
re_korea,KOR,1 300,"3,00"
re_korea,KOR,1 400,"3,50"
re_korea,KOR,1 500,"4,00"
re_korea,KOR,1 600,"5,00"
re_korea,KOR,1 650,"5,00"
re_korea,KOR,1 700,"6,25"
re_korea,KOR,1 750,"7,00"
re_korea,KOR,1 800,"7,50"
re_korea,KOR,1 850,"9,00"
re_korea,KOR,1 900,"12,00"
re_latin,ITA_LATIN,-400,"4,00"
re_latin,ITA_LATIN,-200,"5,00"
re_latin,ITA_LATIN,-100,"11,00"
re_latin,ITA_LATIN,0,"25,10"
re_latin,ITA_LATIN,100,"35,70"
re_latin,ITA_LATIN,200,"35,70"
re_latin,ITA_LATIN,300,"33,20"
re_latin,ITA_LATIN,400,"30,21"
re_latin,ITA_LATIN,500,"21,45"
re_low_countries,BEL,600,"0,30"
re_low_countries,BEL,800,"0,30"
re_low_countries,BEL,1 000,"0,40"
re_low_countries,BEL,1 100,"0,60"
re_low_countries,BEL,1 200,"0,90"
re_low_countries,BEL,1 300,"1,25"
re_low_countries,BEL,1 400,"0,80"
re_low_countries,BEL,1 500,"1,25"
re_low_countries,BEL,1 600,"1,50"
re_low_countries,BEL,1 650,"1,50"
re_low_countries,BEL,1 700,"1,75"
re_low_countries,BEL,1 750,"2,25"
